valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,population_iris,pop_15_64_iris,nb_logement_iris,tx_pauvrete_iris,tx_menages_imposables_iris,dec_med_iris,disp_med_iris,tx_impot_iris,part_rev_act_salarie_iris,part_rev_chomage_iris,part_rev_retraites_iris,tx_emploi_15_64_iris,tx_cdi_iris,nb_generalistes_iris,nb_paramed_iris,nb_com_alim_iris,nb_eq_sportif_iris
48100,21,1,3.894876003,43.60121918,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
260000,71,3,3.865217924,43.61008072,2440,1868,1590,22.80461032,52.78884462,20140,19768.46154,23.7,51.8,3.9,20.9,47.43040685,74.70414201,8,22,7,1
65000,19,1,3.867367029,43.63722992,5483,4949,3803,30.86795736,40.8929837,15398,16239,17.2,62.8,4,20.9,32.00646595,64.03806934,3,18,3,3
400000,87,3,3.863082886,43.61359024,2094,1304,1205,11.96738559,65.06276151,25772,24227.5,23.5,48.7,2.8,26.9,65.64417178,78.51002865,9,36,7,0
300000,85,4,3.84585309,43.62636566,2418,1836,1574,16.83833408,56.29887055,21428,20247.61905,18.4,59,4.2,28.2,56.31808279,78.25112108,3,16,0,0
345200,72,2,3.877039909,43.60551834,2515,1962,1978,25.92592593,49.23599321,18062,18148.66667,19.4,57.4,4.7,22.7,44.08766565,79.44444444,8,17,39,1
345200,28,1,3.877039909,43.60551834,2515,1962,1978,25.92592593,49.23599321,18062,18148.66667,19.4,57.4,4.7,22.7,44.08766565,79.44444444,8,17,39,1
108500,64,3,3.826704025,43.61325836,2594,1881,1471,38.16155989,33.86287625,11316,13993.33333,11.9,66.4,7.3,20.2,53.42902711,80.6345733,4,7,5,1
142500,46,2,3.868654013,43.61457062,2753,2242,1857,14.36657682,61.96498054,24986,23408.8,22.2,56.4,3.2,22,44.11239964,66.2004662,11,55,3,4
951670,26,1,3.896126032,43.60465622,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
951670,23,1,3.894146919,43.60314178,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
951670,27,1,3.894581079,43.60367584,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
951670,30,1,3.892731905,43.60651398,2031,1519,1455,22.06353833,54.93358634,19414,18917,18,54.5,3.6,34.3,49.30875576,77.41935484,5,28,4,1
951670,30,1,3.892731905,43.60651398,2031,1519,1455,22.06353833,54.93358634,19414,18917,18,54.5,3.6,34.3,49.30875576,77.41935484,5,28,4,1
951670,27,1,3.898217916,43.60659409,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
951670,27,1,3.898217916,43.60659409,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
951670,27,1,3.898217916,43.60659409,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
951670,29,2,3.897825956,43.60653687,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
104762,40,2,3.858042955,43.59019852,5374,3559,2692,24.10271374,45.05849133,16010,16734,14.6,59.9,5,28.3,58.16240517,88.68407578,4,19,7,2
72000,19,1,3.879025936,43.62348938,3680,2452,2489,13.64497789,65.76177285,24186,23020.5,20.9,51.1,2.8,33.7,60.27732463,82.03062047,5,10,4,1
154000,67,4,3.894305944,43.62344742,2121,1356,1123,14.84317115,59.87780041,21546,21311.5,17.9,54.4,3.5,27.6,64.15929204,85.34246575,5,23,1,0
75000,25,1,3.885346889,43.60317993,3169,2458,2164,25.78139449,42.13230572,15536,16781.11111,15.7,64.3,5.9,20.1,51.54597234,70.77338129,3,15,13,0
134000,48,2,3.844206095,43.64125824,5107,3986,2893,25.62361077,45.48889939,15696,16668,16.5,68.7,5.1,15.2,55.06773708,75.24752475,2,13,2,3
75000,28,1,3.844743967,43.63390732,3898,3522,3172,27.4086786,42.31378764,15726,16713.33333,16.2,69.1,5.3,16.2,39.23906871,60.79501169,0,10,1,0
185000,65,3,3.893146038,43.6010704,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
107000,30,2,3.893723965,43.60218048,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
168000,79,4,3.859257936,43.63789749,2162,1525,1235,14.02700033,56.67915106,22990,21681.42857,22.4,56.3,3.2,22.4,52,75.95473833,1,0,5,8
23000,37,1,3.878016949,43.61196899,2544,2167,2151,32.04874835,41.42427282,15092,15980,18.2,61.5,4.8,18.7,42.77803415,61.8226601,2,4,7,0
183000,45,2,3.859335899,43.58147049,3975,2854,1933,19.50290449,52.56518082,18102,18233.84615,15.9,70.7,5.2,15.6,62.64891381,86.01099572,6,18,1,3
137000,45,2,3.844206095,43.64125824,5107,3986,2893,25.62361077,45.48889939,15696,16668,16.5,68.7,5.1,15.2,55.06773708,75.24752475,2,13,2,3
227700,93,4,3.866826057,43.60863495,2440,1868,1590,22.80461032,52.78884462,20140,19768.46154,23.7,51.8,3.9,20.9,47.43040685,74.70414201,8,22,7,1
50000,25,1,3.865228891,43.60961914,2440,1868,1590,22.80461032,52.78884462,20140,19768.46154,23.7,51.8,3.9,20.9,47.43040685,74.70414201,8,22,7,1
321900,71,3,3.872685909,43.63698578,5483,4949,3803,30.86795736,40.8929837,15398,16239,17.2,62.8,4,20.9,32.00646595,64.03806934,3,18,3,3
90000,30,2,3.87746501,43.61298752,2544,2167,2151,32.04874835,41.42427282,15092,15980,18.2,61.5,4.8,18.7,42.77803415,61.8226601,2,4,7,0
180000,66,3,3.851666927,43.60090637,2982,1872,1692,17.78656126,58.52066715,20930,20440,18.8,50.2,3.1,31.3,58.86752137,82.01438849,11,27,7,0
150000,45,0,3.867276907,43.60513687,3634,2478,2076,28.9322444,50.88253195,16894,17232.5,16.6,59.2,5.4,24.5,54.64083939,81.9897084,3,23,14,0
150000,49,0,3.867276907,43.60513687,3634,2478,2076,28.9322444,50.88253195,16894,17232.5,16.6,59.2,5.4,24.5,54.64083939,81.9897084,3,23,14,0
125000,28,2,3.868944883,43.6088028,1712,1409,1226,19.0990991,58.13648294,23970,22888,24.9,49,3.3,18,47.12562101,66.66666667,9,19,5,2
75000,19,1,3.867021084,43.60995102,2440,1868,1590,22.80461032,52.78884462,20140,19768.46154,23.7,51.8,3.9,20.9,47.43040685,74.70414201,8,22,7,1
147750,60,3,3.874674082,43.60279465,4567,3372,3077,21.86794208,55.66762728,20564,19764,19.9,54.9,3.9,26.2,55.10083037,76.66882696,10,36,14,1
142000,24,1,3.862962961,43.60582352,3634,2478,2076,28.9322444,50.88253195,16894,17232.5,16.6,59.2,5.4,24.5,54.64083939,81.9897084,3,23,14,0
170400,75,3,3.89102006,43.61285019,2691,1732,1680,14.43488943,62.53644315,21282,20684,17.7,55.9,3.6,33.4,57.39030023,84.06976744,3,8,3,6
95000,30,1,3.883047104,43.60585785,2668,1928,2125,22.99237326,51.57740279,18724,18502,18.6,55.7,4.3,26.3,50.88174274,78.13578826,5,13,7,1
90000,55,3,3.868208885,43.61615753,2753,2242,1857,14.36657682,61.96498054,24986,23408.8,22.2,56.4,3.2,22,44.11239964,66.2004662,11,55,3,4
90000,55,3,3.868208885,43.61615753,2753,2242,1857,14.36657682,61.96498054,24986,23408.8,22.2,56.4,3.2,22,44.11239964,66.2004662,11,55,3,4
111650,36,2,3.856643915,43.59141159,2398,1575,1549,15.30032468,57.18981101,19424,19387.85714,16.6,58.4,3.8,30.7,65.77777778,85.74380165,4,19,3,1
160000,86,4,3.820214987,43.63608932,3207,2002,1122,46.69589219,28.12812813,8418,12638.26087,10.2,56.3,6.4,32.6,36.56343656,83.94698085,7,18,15,1
160000,89,4,3.863359928,43.60342026,3634,2478,2076,28.9322444,50.88253195,16894,17232.5,16.6,59.2,5.4,24.5,54.64083939,81.9897084,3,23,14,0
55000,84,4,3.818814039,43.64004517,3945,2354,1526,50.13166557,24.3902439,8150,12217.3913,9,60,8.4,27.3,40.27187766,76.33410673,2,4,3,1
505960,144,4,3.877839088,43.60566711,2515,1962,1978,25.92592593,49.23599321,18062,18148.66667,19.4,57.4,4.7,22.7,44.08766565,79.44444444,8,17,39,1
152370,51,2,3.872021914,43.58897018,5788,3594,3160,21.76228742,50.67014147,17061,17665.33333,14.4,53.1,3.8,37.7,56.78909293,88.28781513,4,28,9,5
219000,91,5,3.87707901,43.60339355,4567,3372,3077,21.86794208,55.66762728,20564,19764,19.9,54.9,3.9,26.2,55.10083037,76.66882696,10,36,14,1
180000,68,3,3.887983084,43.59598923,3009,2000,1825,15.11279382,62.63595649,21494,20615,18.7,58.8,3.3,27.7,60.35,84.62273161,6,12,5,2
87450,24,1,3.859402895,43.591362,5374,3559,2692,24.10271374,45.05849133,16010,16734,14.6,59.9,5,28.3,58.16240517,88.68407578,4,19,7,2
43000,84,0,3.846076965,43.61598969,3068,2033,1864,17.51824818,60.37195994,20454,20330,18.8,56.2,3.8,28.2,59.66551894,87.7340824,6,32,5,1
199500,79,4,3.912365913,43.61466599,2440,1761,1276,23.99765304,52.51101322,16570,17283.33333,19,71.6,4.6,11.2,61.83986371,88.7195122,2,18,5,7
133000,48,2,3.835900068,43.63253784,5367,3752,2500,17.51071967,54.33862434,19234,19623.33333,16.5,77.7,4.3,10.3,66.09808102,82.1587868,5,30,2,3
145000,38,2,3.88141799,43.62873459,3375,2360,1865,10.09530533,71.20567376,26816,25518,23.9,53.9,2.2,25,65.29661017,83.18794607,6,16,3,1
200000,83,0,3.890795946,43.60757446,2878,2008,2022,15.31072339,62.33766234,22704,21582,20.4,43.6,2.4,44.3,43.22709163,74.67362924,7,33,14,6
119000,41,2,3.841712952,43.6176033,4057,2735,1374,62.59501503,16.38477801,6100,10594.41176,7.2,60.5,11.3,23.8,37.14808044,73.51598174,2,6,5,1
113000,36,2,3.856229067,43.6334343,4667,4123,2157,21.40655646,51.84016824,21278,20877.08333,18.6,60.7,2.8,27.1,34.5379578,71.75398633,3,17,4,0
70000,20,1,3.846266985,43.63253784,3898,3522,3172,27.4086786,42.31378764,15726,16713.33333,16.2,69.1,5.3,16.2,39.23906871,60.79501169,0,10,1,0
67000,25,1,3.851666927,43.60090637,2982,1872,1692,17.78656126,58.52066715,20930,20440,18.8,50.2,3.1,31.3,58.86752137,82.01438849,11,27,7,0
319000,92,6,3.857316017,43.59399414,2398,1575,1549,15.30032468,57.18981101,19424,19387.85714,16.6,58.4,3.8,30.7,65.77777778,85.74380165,4,19,3,1
172000,64,3,3.832762957,43.63299561,5367,3752,2500,17.51071967,54.33862434,19234,19623.33333,16.5,77.7,4.3,10.3,66.09808102,82.1587868,5,30,2,3
193200,65,3,3.852325916,43.63774109,3898,3522,3172,27.4086786,42.31378764,15726,16713.33333,16.2,69.1,5.3,16.2,39.23906871,60.79501169,0,10,1,0
240000,29,1,3.878530025,43.60963058,4579,3700,3448,23.30302046,56.09625668,21635,20964.5,23.1,52.6,3.5,23.4,47.56756757,68.37725381,14,27,19,1
240000,114,5,3.878530025,43.60963058,4579,3700,3448,23.30302046,56.09625668,21635,20964.5,23.1,52.6,3.5,23.4,47.56756757,68.37725381,14,27,19,1
45000,17,1,3.837946892,43.61346817,1984,1138,1261,31.58865575,44.66019417,13840,15382.69231,14.7,51.3,4.8,35.6,50.79086116,77.56653992,2,17,0,0
440600,96,4,3.910655975,43.60740662,5166,3833,3193,15.02021019,62.00519143,20928,20374.66667,20.1,69.4,3.9,15.7,68.92773285,87.69363167,17,43,9,3
176000,58,3,3.892688036,43.60572815,2031,1519,1455,22.06353833,54.93358634,19414,18917,18,54.5,3.6,34.3,49.30875576,77.41935484,5,28,4,1
153000,70,3,3.843053102,43.641922,5107,3986,2893,25.62361077,45.48889939,15696,16668,16.5,68.7,5.1,15.2,55.06773708,75.24752475,2,13,2,3
90000,17,1,3.837946892,43.61346817,1984,1138,1261,31.58865575,44.66019417,13840,15382.69231,14.7,51.3,4.8,35.6,50.79086116,77.56653992,2,17,0,0
122000,31,2,3.860615015,43.60916138,2440,1868,1590,22.80461032,52.78884462,20140,19768.46154,23.7,51.8,3.9,20.9,47.43040685,74.70414201,8,22,7,1
147000,48,2,3.897640944,43.60198212,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
74000,20,2,3.870353937,43.6150589,1712,1409,1226,19.0990991,58.13648294,23970,22888,24.9,49,3.3,18,47.12562101,66.66666667,9,19,5,2
225000,87,4,3.865485907,43.60187149,2982,1872,1692,17.78656126,58.52066715,20930,20440,18.8,50.2,3.1,31.3,58.86752137,82.01438849,11,27,7,0
235000,98,5,3.856770039,43.58614349,3975,2854,1933,19.50290449,52.56518082,18102,18233.84615,15.9,70.7,5.2,15.6,62.64891381,86.01099572,6,18,1,3
84236.69,14,0,3.867407084,43.63528061,5483,4949,3803,30.86795736,40.8929837,15398,16239,17.2,62.8,4,20.9,32.00646595,64.03806934,3,18,3,3
114550,49,2,3.896269083,43.60524368,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
132000,51,2,3.832412958,43.63491058,5367,3752,2500,17.51071967,54.33862434,19234,19623.33333,16.5,77.7,4.3,10.3,66.09808102,82.1587868,5,30,2,3
154000,80,4,3.853233099,43.59317398,2398,1575,1549,15.30032468,57.18981101,19424,19387.85714,16.6,58.4,3.8,30.7,65.77777778,85.74380165,4,19,3,1
137000,94,4,3.852821112,43.62047958,4172,3154,2795,39.91313464,34.23522916,11364,13454.44444,13,63.6,7.1,21.9,51.01458465,77.06167706,6,13,8,0
158100,56,2,3.873656988,43.62451172,2883,1964,1904,13.03216651,67.85992218,25188,23835,20.4,50.3,2.3,36.1,59.77596741,78.63501484,8,17,2,0
163000,61,3,3.873106003,43.59704208,3521,2139,1905,21.78927681,53.0956848,17972,17921.33333,16.6,51.6,4.2,35.2,58.39177186,79.1776028,2,10,6,2
210700,19,1,3.898505926,43.60168457,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
210700,32,2,3.898505926,43.60168457,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
89400,19,1,3.898505926,43.60168457,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
89400,19,1,3.898505926,43.60168457,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
84461.49,14,0,3.867245913,43.63566208,5483,4949,3803,30.86795736,40.8929837,15398,16239,17.2,62.8,4,20.9,32.00646595,64.03806934,3,18,3,3
116000,22,1,3.854351997,43.62229538,4172,3154,2795,39.91313464,34.23522916,11364,13454.44444,13,63.6,7.1,21.9,51.01458465,77.06167706,6,13,8,0
73000,33,2,3.882452011,43.60185623,3169,2458,2164,25.78139449,42.13230572,15536,16781.11111,15.7,64.3,5.9,20.1,51.54597234,70.77338129,3,15,13,0
89400,19,1,3.898505926,43.60168457,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
115000,30,1,3.877253056,43.61514664,2851,2277,2237,20.14453478,52.28426396,19866,19507.16667,19.5,62.2,4.7,18.3,51.69082126,67.51219512,5,21,18,0
218000,60,3,3.879942894,43.60108185,3169,2458,2164,25.78139449,42.13230572,15536,16781.11111,15.7,64.3,5.9,20.1,51.54597234,70.77338129,3,15,13,0
125000,47,2,3.893759966,43.60115433,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
135000,50,3,3.875463963,43.61303329,2544,2167,2151,32.04874835,41.42427282,15092,15980,18.2,61.5,4.8,18.7,42.77803415,61.8226601,2,4,7,0
328900,63,3,3.87412405,43.60830307,2437,2085,1915,27.59253594,45.23135033,16102,16792.66667,19.6,56.5,6,17.2,48.53717026,60.14580802,3,4,17,1
292400,70,3,3.875514984,43.61414719,2544,2167,2151,32.04874835,41.42427282,15092,15980,18.2,61.5,4.8,18.7,42.77803415,61.8226601,2,4,7,0
89400,19,1,3.898505926,43.60168457,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
129750,65,2,3.862129927,43.6048851,3634,2478,2076,28.9322444,50.88253195,16894,17232.5,16.6,59.2,5.4,24.5,54.64083939,81.9897084,3,23,14,0
83000,30,1,3.840317965,43.62532043,4326,2883,2370,46.327142,39.43580887,9726,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3,9,13,5
74200,22,2,3.86730504,43.60916901,1712,1409,1226,19.0990991,58.13648294,23970,22888,24.9,49,3.3,18,47.12562101,66.66666667,9,19,5,2
120000,36,2,3.876013994,43.6063385,2515,1962,1978,25.92592593,49.23599321,18062,18148.66667,19.4,57.4,4.7,22.7,44.08766565,79.44444444,8,17,39,1
120000,75,4,3.845822096,43.62263489,2418,1836,1574,16.83833408,56.29887055,21428,20247.61905,18.4,59,4.2,28.2,56.31808279,78.25112108,3,16,0,0
108000,42,1,3.879949093,43.61391449,2851,2277,2237,20.14453478,52.28426396,19866,19507.16667,19.5,62.2,4.7,18.3,51.69082126,67.51219512,5,21,18,0
86000,28,2,3.884253025,43.60469818,2668,1928,2125,22.99237326,51.57740279,18724,18502,18.6,55.7,4.3,26.3,50.88174274,78.13578826,5,13,7,1
75000,17,1,3.891774893,43.60593033,2031,1519,1455,22.06353833,54.93358634,19414,18917,18,54.5,3.6,34.3,49.30875576,77.41935484,5,28,4,1
366350,23,2,3.877424955,43.61299896,2544,2167,2151,32.04874835,41.42427282,15092,15980,18.2,61.5,4.8,18.7,42.77803415,61.8226601,2,4,7,0
366350,53,3,3.877424955,43.61299896,2544,2167,2151,32.04874835,41.42427282,15092,15980,18.2,61.5,4.8,18.7,42.77803415,61.8226601,2,4,7,0
150000,25,1,3.873208046,43.62049484,2967,2251,2021,23.52941176,53.83244207,19814,19367.41935,20.7,54.9,3.9,25.1,46.82363394,75.51252847,9,21,7,0
159600,28,2,3.873208046,43.62049484,2967,2251,2021,23.52941176,53.83244207,19814,19367.41935,20.7,54.9,3.9,25.1,46.82363394,75.51252847,9,21,7,0
78000,44,3,3.865937948,43.60712814,3634,2478,2076,28.9322444,50.88253195,16894,17232.5,16.6,59.2,5.4,24.5,54.64083939,81.9897084,3,23,14,0
142000,53,3,3.844997883,43.59506226,6204,4292,2939,22.74957936,49.45499844,16275,17143,14.3,75.1,5.9,13.5,65.35414725,85.76952823,3,18,4,9
180000,36,1,3.875415087,43.61283112,2544,2167,2151,32.04874835,41.42427282,15092,15980,18.2,61.5,4.8,18.7,42.77803415,61.8226601,2,4,7,0
210000,71,3,3.889302015,43.60665894,2878,2008,2022,15.31072339,62.33766234,22704,21582,20.4,43.6,2.4,44.3,43.22709163,74.67362924,7,33,14,6
65000,24,1,3.834146023,43.60878372,4188,2918,2027,16.44876523,61.18791603,20392,20190.76923,18.7,59.2,3.6,26.3,63.84509938,85.5176541,3,25,2,4
100000,39,2,3.894359112,43.60145569,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
92000,20,1,3.896269083,43.60524368,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
250000,75,3,3.86254096,43.61730576,2731,1826,1571,17.53648281,61.00872939,22862,21669.04762,21.9,55.8,2.7,25.3,54.3263965,78.84378844,8,19,6,1
80000,25,1,3.91069293,43.60795212,5166,3833,3193,15.02021019,62.00519143,20928,20374.66667,20.1,69.4,3.9,15.7,68.92773285,87.69363167,17,43,9,3
237000,76,3,3.878895044,43.61138535,4579,3700,3448,23.30302046,56.09625668,21635,20964.5,23.1,52.6,3.5,23.4,47.56756757,68.37725381,14,27,19,1
140000,35,2,3.897428989,43.60269547,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
112000,31,2,3.891988039,43.62802124,3375,2360,1865,10.09530533,71.20567376,26816,25518,23.9,53.9,2.2,25,65.29661017,83.18794607,6,16,3,1
115000,49,2,3.826286077,43.61397934,2594,1881,1471,38.16155989,33.86287625,11316,13993.33333,11.9,66.4,7.3,20.2,53.42902711,80.6345733,4,7,5,1
100000,36,2,3.856229067,43.6334343,4667,4123,2157,21.40655646,51.84016824,21278,20877.08333,18.6,60.7,2.8,27.1,34.5379578,71.75398633,3,17,4,0
30000,19,1,3.834837914,43.61489868,4057,2735,1374,62.59501503,16.38477801,6100,10594.41176,7.2,60.5,11.3,23.8,37.14808044,73.51598174,2,6,5,1
280000,118,0,3.879295111,43.60556412,2515,1962,1978,25.92592593,49.23599321,18062,18148.66667,19.4,57.4,4.7,22.7,44.08766565,79.44444444,8,17,39,1
278200,133,4,3.890083075,43.61476135,2424,1596,1314,23.48336595,53.33998006,19168,19004,17.3,52,3.8,32.2,57.33082707,87.6747141,0,6,4,1
63000,52,3,3.885207891,43.60089874,2888,1851,1605,22.36770322,50.80882353,17720,18040.37037,15,57.3,4.4,30.6,56.29389519,80.57080132,3,6,3,1
65900,15,2,3.874860048,43.6096611,2370,2050,1938,20.94117647,54.52812202,21298,20329.04762,23.7,54.9,4.1,18.3,45.70731707,62.55144033,11,9,24,0
425000,180,6,3.88211298,43.60709763,4579,3700,3448,23.30302046,56.09625668,21635,20964.5,23.1,52.6,3.5,23.4,47.56756757,68.37725381,14,27,19,1
162500,17,0,3.885867119,43.60314178,3169,2458,2164,25.78139449,42.13230572,15536,16781.11111,15.7,64.3,5.9,20.1,51.54597234,70.77338129,3,15,13,0
162500,61,2,3.885867119,43.60314178,3169,2458,2164,25.78139449,42.13230572,15536,16781.11111,15.7,64.3,5.9,20.1,51.54597234,70.77338129,3,15,13,0
115050,26,2,3.882699966,43.60887909,4579,3700,3448,23.30302046,56.09625668,21635,20964.5,23.1,52.6,3.5,23.4,47.56756757,68.37725381,14,27,19,1
80000,50,2,3.873235941,43.63266754,2004,1469,1177,0,73.7514518,35034,31678.66667,30,46.1,1.9,23,56.70524166,74.72,0,5,1,1
170000,49,2,3.899682999,43.60118484,5166,3833,3193,15.02021019,62.00519143,20928,20374.66667,20.1,69.4,3.9,15.7,68.92773285,87.69363167,17,43,9,3
108000,45,2,3.839911938,43.62062454,913,714,540,39.91313464,34.23522916,11364,13454.44444,13,63.6,7.1,21.9,70.0280112,78.42696629,1,5,1,1
6000,62,3,3.873774052,43.60411453,4567,3372,3077,21.86794208,55.66762728,20564,19764,19.9,54.9,3.9,26.2,55.10083037,76.66882696,10,36,14,1
89900,19,1,3.898505926,43.60168457,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
235000,87,4,3.851241112,43.61602402,2578,1906,1852,21.43895349,55.26552655,18728,18645,19.2,52.3,4.1,27.5,49.73767051,75.81620314,6,11,1,7
87000,35,2,3.847487926,43.62326813,2418,1836,1574,16.83833408,56.29887055,21428,20247.61905,18.4,59,4.2,28.2,56.31808279,78.25112108,3,16,0,0
114000,44,2,3.858042955,43.59019852,5374,3559,2692,24.10271374,45.05849133,16010,16734,14.6,59.9,5,28.3,58.16240517,88.68407578,4,19,7,2
81500,25,1,3.863317013,43.6256485,2309,1923,1591,29.9025974,44.11764706,15834,16761.97436,17.1,63.4,4.8,21.4,39.72958918,68.59623734,1,13,0,2
119000,65,3,3.873296022,43.59552383,1867,1004,1008,25.61888313,54.33255269,18008,18073.73913,14.1,47.7,3.8,43.7,58.06772908,90.09009009,8,8,1,2
